"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"15","https://img.a.transfermarkt.technology/portrait/medium/51046-1454601493.jpg?lm=1","Héctor Moreno","Defensa central","[""México"",""España""]"
"32","https://img.a.transfermarkt.technology/portrait/medium/745454-1678026475.jpg?lm=1","Tony Leone","Defensa central","[""México"",""Estados Unidos""]"
"34","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","César Bustos","Defensa central","[""México""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/469718-1666640629.jpg?lm=1","Gerardo Arteaga","Lateral izquierdo","[""México""]"
"21","https://img.a.transfermarkt.technology/portrait/medium/264133-1497614769.jpg?lm=1","Luis Reyes","Lateral izquierdo","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/347577-1579703709.png?lm=1","Ricardo Chávez","Lateral derecho","[""México""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/295373-1579700788.jpg?lm=1","Érick Aguirre","Lateral derecho","[""México""]"
"33","https://img.a.transfermarkt.technology/portrait/medium/131093-1714677569.jpg?lm=1","Stefan Medina","Lateral derecho","[""Colombia""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/723240-1642809518.jpeg?lm=1","Fidel Ambríz","Pivote","[""México""]"
"30","https://img.a.transfermarkt.technology/portrait/medium/333760-1636585193.JPG?lm=1","Jorge Rodríguez","Pivote","[""Argentina""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Pedro Ramírez","Centrocampista","[""México""]"
"25","https://img.a.transfermarkt.technology/portrait/medium/907559-1693600752.JPG?lm=1","Nelson Deossa","Mediocentro","[""Colombia""]"
"8","https://img.a.transfermarkt.technology/portrait/medium/214775-1702411864.jpg?lm=1","Óliver Torres","Mediocentro","[""España""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/66106-1653039158.jpg?lm=1","Sergio Canales","Mediocentro ofensivo","[""España""]"
"204","https://img.a.transfermarkt.technology/portrait/medium/1095326-1729528728.jpg?lm=1","Iker Fimbres","Mediocentro ofensivo","[""México""]"
"29","https://img.a.transfermarkt.technology/portrait/medium/189441-1693305399.jpg?lm=1","Lucas Ocampos","Extremo izquierdo","[""Argentina"",""España""]"
"19","https://img.a.transfermarkt.technology/portrait/medium/430021-1692204794.jpg?lm=1","Jordi Cortizo","Extremo derecho","[""México"",""España""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/125165-1606396675.png?lm=1","Jesús Corona","Extremo derecho","[""México"",""Portugal""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/401572-1691601648.jpg?lm=1","Germán Berterame","Delantero centro","[""México"",""Argentina""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/570431-1642812036.jpeg?lm=1","Alfonso Alvarado","Delantero centro","[""México""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/371168-1717624916.JPG?lm=1","Roberto de la Rosa","Delantero centro","[""México""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/819874-1713478828.jpg?lm=1","Fernando Tapia","Portero","[""México""]"
"1","https://img.a.transfermarkt.technology/portrait/medium/87859-1521646068.jpg?lm=1","Nahuel Guzmán","Portero","[""Argentina""]"
"25","https://img.a.transfermarkt.technology/portrait/medium/102699-1672516175.jpg?lm=1","Felipe Rodríguez","Portero","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/860857-1659145874.jpg?lm=1","Joaquim","Defensa central","[""Brasil""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/553816-1678216809.jpg?lm=1","Juan José Purata","Defensa central","[""México""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/131090-1547029254.jpg?lm=1","Diego Reyes","Defensa central","[""México""]"
"33","https://img.a.transfermarkt.technology/portrait/medium/971630-1657826563.jpg?lm=1","Rafael Guerrero","Defensa central","[""México""]"
"15","https://img.a.transfermarkt.technology/portrait/medium/480892-1580398790.png?lm=1","Eduardo Tercero","Defensa central","[""México""]"
"27","https://img.a.transfermarkt.technology/portrait/medium/312568-1560927405.jpg?lm=1","Jesús Angulo","Lateral izquierdo","[""México""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/295426-1582819628.jpg?lm=1","Osvaldo Rodríguez","Lateral izquierdo","[""México""]"
"28","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Fernando Ordóñez","Lateral izquierdo","[""México""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/691075-1671122063.jpg?lm=1","Jesús Garza","Lateral derecho","[""México""]"
"20","https://img.a.transfermarkt.technology/portrait/medium/111082-1671122157.jpg?lm=1","Javier Aquino","Lateral derecho","[""México""]"
"32","https://img.a.transfermarkt.technology/portrait/medium/599569-1625816840.jpg?lm=1","Vladímir Loroña","Lateral derecho","[""México""]"
"8","https://img.a.transfermarkt.technology/portrait/medium/310744-1581594167.png?lm=1","Fernando Gorriarán","Pivote","[""Uruguay""]"
"23","https://img.a.transfermarkt.technology/portrait/medium/687359-1659140020.jpg?lm=1","Rômulo","Pivote","[""Brasil""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/67917-1454587236.jpg?lm=1","Rafael Carioca","Pivote","[""Brasil""]"
"34","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Bernardo Parra","Centrocampista","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/234227-1453739107.jpg?lm=1","Juan Pablo Vigón","Mediocentro","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/920611-1671121966.jpg?lm=1","David Ayala","Mediocentro","[""México""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/466268-1698780385.jpeg?lm=1","Juan Brunetta","Mediocentro ofensivo","[""Argentina"",""Italia""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/431533-1565165081.png?lm=1","Sebastián Córdova","Mediocentro ofensivo","[""México""]"
"30","https://img.a.transfermarkt.technology/portrait/medium/600905-1645039950.jpg?lm=1","Raymundo Fulgencio","Extremo izquierdo","[""México""]"
"24","https://img.a.transfermarkt.technology/portrait/medium/668495-1608204598.jpg?lm=1","Marcelo Flores","Extremo izquierdo","[""México"",""Canadá""]"
"77","https://img.a.transfermarkt.technology/portrait/medium/629006-1639416912.jpg?lm=1","Ozziel Herrera","Extremo derecho","[""México"",""Cuba""]"
"16","https://img.a.transfermarkt.technology/portrait/medium/371174-1714931805.jpg?lm=1","Diego Lainez","Extremo derecho","[""México"",""España""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/355998-1719229988.jpg?lm=1","Uriel Antuna","Extremo derecho","[""México""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/267753-1611773421.jpg?lm=1","Nicolás Ibáñez","Delantero centro","[""Argentina"",""México""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/43907-1714769320.jpeg?lm=1","André-Pierre Gignac","Delantero centro","[""Francia"",""México""]"
"1","https://img.a.transfermarkt.technology/portrait/medium/802855-1671124384.jpg?lm=1","Raúl Rangel","Portero","[""México""]"
"51","https://img.a.transfermarkt.technology/portrait/medium/504103-1572341926.png?lm=1","Eduardo García","Portero","[""México""]"
